,rank,team,avg,obp,year
25,26,Pittsburgh Pirates,0.259,0.322,1994
26,27,San Francisco Giants,0.249,0.318,1994
27,28,New York Mets,0.25,0.316,1994
0,1,Cleveland Indians,0.291,0.361,1995
1,2,New York Yankees,0.276,0.357,1995
2,3,Boston Red Sox,0.28,0.357,1995
3,4,Chicago White Sox,0.28,0.354,1995
4,5,Houston Astros,0.275,0.353,1995
5,6,California Angels,0.277,0.352,1995
6,7,Seattle Mariners,0.276,0.35,1995
7,8,Colorado Rockies,0.282,0.35,1995
8,9,Minnesota Twins,0.279,0.346,1995
9,10,Baltimore Orioles,0.262,0.342,1995
10,11,Cincinnati Reds,0.27,0.342,1995
11,12,Oakland Athletics,0.264,0.341,1995
12,13,Texas Rangers,0.265,0.338,1995
13,14,Milwaukee Brewers,0.266,0.336,1995
14,15,Florida Marlins,0.262,0.335,1995
15,16,San Diego Padres,0.272,0.334,1995
16,17,Philadelphia Phillies,0.262,0.332,1995
17,18,New York Mets,0.267,0.33,1995
18,19,Los Angeles Dodgers,0.264,0.329,1995
19,20,Toronto Blue Jays,0.26,0.328,1995
20,21,Kansas City Royals,0.26,0.328,1995
21,22,Chicago Cubs,0.265,0.327,1995
22,23,Detroit Tigers,0.247,0.327,1995
23,24,Atlanta Braves,0.25,0.326,1995
24,25,San Francisco Giants,0.253,0.323,1995
25,26,Pittsburgh Pirates,0.259,0.323,1995
26,27,Montreal Expos,0.259,0.32,1995
27,28,St. Louis Cardinals,0.247,0.314,1995
0,1,Cleveland Indians,0.293,0.369,1996
1,2,Seattle Mariners,0.287,0.366,1996
2,3,Chicago White Sox,0.281,0.36,1996
3,4,New York Yankees,0.288,0.36,1996
4,5,Boston Red Sox,0.283,0.359,1996
5,6,Texas Rangers,0.284,0.358,1996
6,7,Minnesota Twins,0.288,0.357,1996
7,8,Colorado Rockies,0.287,0.355,1996
8,9,Milwaukee Brewers,0.279,0.353,1996
9,10,Baltimore Orioles,0.274,0.35,1996
10,11,Oakland Athletics,0.265,0.344,1996
11,12,California Angels,0.276,0.339,1996
12,13,San Diego Padres,0.265,0.338,1996
13,14,Houston Astros,0.262,0.336,1996
14,15,Atlanta Braves,0.27,0.333,1996
15,16,Kansas City Royals,0.267,0.332,1996
16,17,Cincinnati Reds,0.256,0.331,1996
17,18,Toronto Blue Jays,0.259,0.331,1996
18,19,San Francisco Giants,0.253,0.331,1996
19,20,St. Louis Cardinals,0.267,0.33,1996
20,21,Pittsburgh Pirates,0.266,0.329,1996
21,22,Florida Marlins,0.257,0.329,1996
22,23,Montreal Expos,0.262,0.327,1996
23,24,Philadelphia Phillies,0.256,0.325,1996
24,25,New York Mets,0.27,0.324,1996
25,26,Detroit Tigers,0.256,0.323,1996
26,27,Chicago Cubs,0.251,0.32,1996
27,28,Los Angeles Dodgers,0.252,0.316,1996
0,1,New York Yankees,0.287,0.362,1997
1,2,Cleveland Indians,0.286,0.358,1997
2,3,Colorado Rockies,0.288,0.357,1997
3,4,Seattle Mariners,0.28,0.355,1997
4,5,Boston Red Sox,0.291,0.352,1997
5,6,Florida Marlins,0.259,0.346,1997
6,7,Anaheim Angels,0.272,0.346,1997
7,8,Houston Astros,0.259,0.344,1997
8,9,Atlanta Braves,0.27,0.343,1997
9,10,San Diego Padres,0.271,0.342,1997
10,11,Baltimore Orioles,0.268,0.341,1997
11,12,Chicago White Sox,0.273,0.341,1997
12,13,Oakland Athletics,0.26,0.339,1997
13,14,San Francisco Giants,0.258,0.337,1997
14,15,Texas Rangers,0.274,0.334,1997
15,16,Kansas City Royals,0.264,0.333,1997
16,17,Minnesota Twins,0.27,0.333,1997
17,18,New York Mets,0.262,0.332,1997
18,19,Detroit Tigers,0.258,0.332,1997
19,20,Los Angeles Dodgers,0.268,0.33,1997
20,21,Pittsburgh Pirates,0.262,0.329,1997
21,22,Milwaukee Brewers,0.26,0.325,1997
22,23,St. Louis Cardinals,0.255,0.324,1997
23,24,Philadelphia Phillies,0.255,0.322,1997
24,25,Chicago Cubs,0.263,0.321,1997
25,26,Cincinnati Reds,0.253,0.321,1997
26,27,Montreal Expos,0.258,0.316,1997
27,28,Toronto Blue Jays,0.244,0.31,1997
0,1,New York Yankees,0.288,0.364,1998
1,2,Texas Rangers,0.289,0.357,1998
2,3,Houston Astros,0.28,0.356,1998
3,4,San Francisco Giants,0.274,0.353,1998
4,5,Boston Red Sox,0.28,0.348,1998
5,6,Colorado Rockies,0.291,0.347,1998
6,7,Cleveland Indians,0.272,0.347,1998
7,8,Baltimore Orioles,0.273,0.347,1998
8,9,Seattle Mariners,0.276,0.345,1998
9,10,Atlanta Braves,0.272,0.342,1998
10,11,St. Louis Cardinals,0.258,0.341,1998
11,12,Toronto Blue Jays,0.266,0.34,1998
12,13,Chicago White Sox,0.271,0.339,1998
13,14,Oakland Athletics,0.257,0.338,1998
14,15,Chicago Cubs,0.264,0.337,1998
15,16,Cincinnati Reds,0.262,0.337,1998
16,17,Anaheim Angels,0.272,0.335,1998
17,18,Milwaukee Brewers,0.26,0.33,1998
18,19,San Diego Padres,0.253,0.33,1998
19,20,New York Mets,0.259,0.33,1998
20,21,Minnesota Twins,0.266,0.328,1998
21,22,Philadelphia Phillies,0.264,0.326,1998
22,23,Kansas City Royals,0.263,0.324,1998
23,24,Detroit Tigers,0.264,0.323,1998
24,25,Tampa Bay Devil Rays,0.261,0.321,1998
25,26,Florida Marlins,0.248,0.317,1998
26,27,Arizona Diamondbacks,0.246,0.314,1998
27,28,Pittsburgh Pirates,0.254,0.311,1998
28,29,Los Angeles Dodgers,0.252,0.31,1998
29,30,Montreal Expos,0.249,0.31,1998
0,1,Cleveland Indians,0.289,0.374,1999
1,2,New York Yankees,0.282,0.366,1999
2,3,New York Mets,0.279,0.363,1999
3,4,Texas Rangers,0.293,0.361,1999
4,5,San Francisco Giants,0.271,0.356,1999
5,6,Oakland Athletics,0.259,0.355,1999
6,7,Houston Astros,0.267,0.355,1999
7,8,Baltimore Orioles,0.279,0.353,1999
8,9,Milwaukee Brewers,0.273,0.353,1999
9,10,Toronto Blue Jays,0.28,0.352,1999
10,11,Philadelphia Phillies,0.275,0.351,1999
11,12,Boston Red Sox,0.278,0.351,1999
12,13,Kansas City Royals,0.282,0.348,1999
13,14,Colorado Rockies,0.288,0.348,1999
14,15,Arizona Diamondbacks,0.277,0.347,1999
15,16,Seattle Mariners,0.269,0.343,1999
16,17,Tampa Bay Devil Rays,0.274,0.343,1999
17,18,Atlanta Braves,0.266,0.341,1999
18,19,Cincinnati Reds,0.272,0.341,1999
19,20,Los Angeles Dodgers,0.266,0.339,1999
20,21,St. Louis Cardinals,0.262,0.338,1999
21,22,Chicago White Sox,0.277,0.337,1999
22,23,Pittsburgh Pirates,0.259,0.334,1999
23,24,San Diego Padres,0.252,0.332,1999
24,25,Chicago Cubs,0.257,0.329,1999
25,26,Minnesota Twins,0.264,0.328,1999
26,27,Detroit Tigers,0.261,0.326,1999
27,28,Florida Marlins,0.263,0.325,1999
28,29,Montreal Expos,0.265,0.323,1999
29,30,Anaheim Angels,0.256,0.322,1999
0,1,Cleveland Indians,0.288,0.367,2000
1,2,Colorado Rockies,0.294,0.362,2000
2,3,San Francisco Giants,0.278,0.362,2000
3,4,Seattle Mariners,0.269,0.361,2000
4,5,Houston Astros,0.278,0.361,2000
5,6,Oakland Athletics,0.27,0.36,2000
6,7,St. Louis Cardinals,0.27,0.356,2000
7,8,Chicago White Sox,0.286,0.356,2000
8,9,New York Yankees,0.277,0.354,2000
9,10,Anaheim Angels,0.28,0.352,2000
10,11,Texas Rangers,0.283,0.352,2000
11,12,Kansas City Royals,0.288,0.348,2000
12,13,Atlanta Braves,0.271,0.346,2000
13,14,New York Mets,0.263,0.346,2000
14,15,Cincinnati Reds,0.274,0.343,2000
15,16,Detroit Tigers,0.275,0.343,2000
16,17,Toronto Blue Jays,0.275,0.341,2000
17,18,Baltimore Orioles,0.272,0.341,2000
18,19,Boston Red Sox,0.267,0.341,2000
19,20,Los Angeles Dodgers,0.257,0.341,2000
20,21,Pittsburgh Pirates,0.267,0.339,2000
21,22,Minnesota Twins,0.27,0.337,2000
22,23,Chicago Cubs,0.256,0.335,2000
23,24,Arizona Diamondbacks,0.265,0.333,2000
24,25,Florida Marlins,0.262,0.331,2000
25,26,San Diego Padres,0.254,0.33,2000
26,27,Philadelphia Phillies,0.251,0.329,2000
27,28,Tampa Bay Devil Rays,0.257,0.329,2000
28,29,Montreal Expos,0.266,0.326,2000
29,30,Milwaukee Brewers,0.246,0.325,2000
0,1,Seattle Mariners,0.288,0.36,2001
1,2,Colorado Rockies,0.292,0.354,2001
2,3,Cleveland Indians,0.278,0.35,2001
3,4,Houston Astros,0.271,0.347,2001
4,5,Oakland Athletics,0.264,0.345,2001
5,6,Texas Rangers,0.275,0.344,2001
6,7,San Francisco Giants,0.266,0.342,2001
7,8,Arizona Diamondbacks,0.267,0.341,2001
8,9,St. Louis Cardinals,0.27,0.339,2001
9,10,Minnesota Twins,0.272,0.337,2001
10,11,Chicago Cubs,0.261,0.336,2001
11,12,San Diego Padres,0.252,0.336,2001
12,13,Chicago White Sox,0.268,0.334,2001
13,14,Boston Red Sox,0.266,0.334,2001
14,15,New York Yankees,0.267,0.334,2001
15,16,Philadelphia Phillies,0.26,0.329,2001
16,17,Anaheim Angels,0.261,0.327,2001
17,18,Florida Marlins,0.264,0.326,2001
18,19,Toronto Blue Jays,0.263,0.325,2001
19,20,Cincinnati Reds,0.262,0.324,2001
20,21,Atlanta Braves,0.26,0.324,2001
21,22,Los Angeles Dodgers,0.255,0.323,2001
22,23,New York Mets,0.249,0.323,2001
23,24,Detroit Tigers,0.26,0.32,2001
24,25,Tampa Bay Devil Rays,0.258,0.32,2001
25,26,Baltimore Orioles,0.248,0.319,2001
26,27,Milwaukee Brewers,0.251,0.319,2001
27,28,Montreal Expos,0.253,0.319,2001
28,29,Kansas City Royals,0.266,0.318,2001
29,30,Pittsburgh Pirates,0.247,0.313,2001
0,1,New York Yankees,0.275,0.354,2002
1,2,Seattle Mariners,0.275,0.35,2002
2,3,Arizona Diamondbacks,0.267,0.346,2002
3,4,Boston Red Sox,0.277,0.345,2002
4,5,San Francisco Giants,0.267,0.344,2002
5,6,Anaheim Angels,0.282,0.341,2002
6,7,Oakland Athletics,0.261,0.339,2002
7,8,Philadelphia Phillies,0.259,0.339,2002
8,9,Texas Rangers,0.269,0.338,2002
9,10,St. Louis Cardinals,0.268,0.338,2002
10,11,Houston Astros,0.262,0.338,2002
11,12,Chicago White Sox,0.268,0.338,2002
12,13,Colorado Rockies,0.274,0.337,2002
13,14,Florida Marlins,0.261,0.337,2002
14,15,Montreal Expos,0.261,0.334,2002
15,16,Minnesota Twins,0.272,0.332,2002
16,17,Atlanta Braves,0.26,0.331,2002
17,18,Cincinnati Reds,0.253,0.33,2002
18,19,Toronto Blue Jays,0.261,0.327,2002
19,20,Kansas City Royals,0.256,0.323,2002
20,21,New York Mets,0.256,0.322,2002
21,22,Cleveland Indians,0.249,0.321,2002
22,23,Chicago Cubs,0.246,0.321,2002
23,24,San Diego Padres,0.253,0.321,2002
24,25,Milwaukee Brewers,0.253,0.32,2002
25,26,Los Angeles Dodgers,0.264,0.32,2002
26,27,Pittsburgh Pirates,0.244,0.319,2002
27,28,Tampa Bay Devil Rays,0.253,0.314,2002
28,29,Baltimore Orioles,0.246,0.309,2002
29,30,Detroit Tigers,0.248,0.3,2002
0,1,Boston Red Sox,0.289,0.36,2003
1,2,New York Yankees,0.271,0.356,2003
2,3,St. Louis Cardinals,0.279,0.35,2003
3,4,Toronto Blue Jays,0.279,0.349,2003
4,5,Atlanta Braves,0.284,0.349,2003
5,6,Colorado Rockies,0.267,0.344,2003
6,7,Seattle Mariners,0.271,0.344,2003
7,8,Philadelphia Phillies,0.261,0.343,2003
8,9,Minnesota Twins,0.277,0.341,2003
9,10,San Francisco Giants,0.264,0.338,2003
10,11,Pittsburgh Pirates,0.267,0.338,2003
11,12,Kansas City Royals,0.274,0.336,2003
12,13,Houston Astros,0.263,0.336,2003
13,14,San Diego Padres,0.261,0.333,2003
14,15,Florida Marlins,0.266,0.333,2003
15,16,Chicago White Sox,0.263,0.331,2003
16,17,Anaheim Angels,0.268,0.33,2003
17,18,Texas Rangers,0.266,0.33,2003
18,19,Arizona Diamondbacks,0.263,0.33,2003
19,20,Milwaukee Brewers,0.256,0.329,2003
20,21,Oakland Athletics,0.254,0.327,2003
21,22,Montreal Expos,0.258,0.326,2003
22,23,Baltimore Orioles,0.268,0.323,2003
23,24,Chicago Cubs,0.259,0.323,2003
24,25,Tampa Bay Devil Rays,0.265,0.32,2003
25,26,Cincinnati Reds,0.245,0.318,2003
26,27,Cleveland Indians,0.254,0.316,2003
27,28,New York Mets,0.247,0.314,2003
28,29,Los Angeles Dodgers,0.243,0.303,2003
29,30,Detroit Tigers,0.24,0.3,2003
0,1,Boston Red Sox,0.282,0.36,2004
1,2,San Francisco Giants,0.27,0.357,2004
2,3,New York Yankees,0.268,0.353,2004
3,4,Cleveland Indians,0.276,0.351,2004
4,5,Philadelphia Phillies,0.267,0.345,2004
5,6,Colorado Rockies,0.275,0.345,2004
6,7,Baltimore Orioles,0.281,0.345,2004
7,8,St. Louis Cardinals,0.278,0.344,2004
8,9,Oakland Athletics,0.27,0.343,2004
9,10,Atlanta Braves,0.27,0.343,2004
10,11,San Diego Padres,0.273,0.342,2004
11,12,Houston Astros,0.267,0.342,2004
12,13,Anaheim Angels,0.282,0.341,2004
13,14,Detroit Tigers,0.272,0.337,2004
14,15,Chicago White Sox,0.268,0.333,2004
15,16,Minnesota Twins,0.266,0.332,2004
16,17,Los Angeles Dodgers,0.262,0.332,2004
17,18,Cincinnati Reds,0.25,0.331,2004
18,19,Seattle Mariners,0.27,0.331,2004
19,20,Florida Marlins,0.264,0.329,2004
20,21,Texas Rangers,0.266,0.329,2004
21,22,Toronto Blue Jays,0.26,0.328,2004
22,23,Chicago Cubs,0.268,0.328,2004
23,24,Kansas City Royals,0.259,0.322,2004
24,25,Pittsburgh Pirates,0.26,0.321,2004
25,26,Milwaukee Brewers,0.248,0.321,2004
26,27,Tampa Bay Devil Rays,0.258,0.32,2004
27,28,New York Mets,0.249,0.317,2004
28,29,Montreal Expos,0.249,0.313,2004
29,30,Arizona Diamondbacks,0.253,0.31,2004
0,1,Boston Red Sox,0.281,0.357,2005
1,2,New York Yankees,0.276,0.355,2005
2,3,Philadelphia Phillies,0.27,0.348,2005
3,4,Florida Marlins,0.272,0.339,2005
4,5,St. Louis Cardinals,0.27,0.339,2005
5,6,Cincinnati Reds,0.261,0.339,2005
6,7,Cleveland Indians,0.271,0.334,2005
7,8,Colorado Rockies,0.267,0.333,2005
8,9,San Diego Padres,0.257,0.333,2005
9,10,Atlanta Braves,0.265,0.333,2005
10,11,Arizona Diamondbacks,0.256,0.332,2005
11,12,Milwaukee Brewers,0.259,0.331,2005
12,13,Toronto Blue Jays,0.265,0.331,2005
13,14,Oakland Athletics,0.262,0.33,2005
14,15,Texas Rangers,0.267,0.329,2005
15,16,Tampa Bay Devil Rays,0.274,0.329,2005
16,17,Baltimore Orioles,0.269,0.327,2005
17,18,Los Angeles Dodgers,0.253,0.326,2005
18,19,Los Angeles Angels,0.27,0.325,2005
19,20,Chicago Cubs,0.27,0.324,2005
20,21,Minnesota Twins,0.259,0.323,2005
21,22,Pittsburgh Pirates,0.259,0.322,2005
22,23,Houston Astros,0.256,0.322,2005
23,24,Chicago White Sox,0.262,0.322,2005
24,25,Washington Nationals,0.252,0.322,2005
25,26,New York Mets,0.258,0.322,2005
26,27,Detroit Tigers,0.272,0.321,2005
27,28,Kansas City Royals,0.263,0.32,2005
28,29,San Francisco Giants,0.261,0.319,2005
29,30,Seattle Mariners,0.256,0.317,2005
0,1,New York Yankees,0.285,0.363,2006
1,2,Boston Red Sox,0.269,0.351,2006
2,3,Cleveland Indians,0.28,0.349,2006
3,4,Los Angeles Dodgers,0.276,0.348,2006
4,5,Toronto Blue Jays,0.284,0.348,2006
5,6,Philadelphia Phillies,0.267,0.347,2006
6,7,Minnesota Twins,0.287,0.347,2006
7,8,Chicago White Sox,0.28,0.342,2006
8,9,Colorado Rockies,0.27,0.341,2006
9,10,Oakland Athletics,0.26,0.34,2006
10,11,Baltimore Orioles,0.277,0.339,2006
11,12,Texas Rangers,0.278,0.338,2006
12,13,Washington Nationals,0.262,0.338,2006
13,14,St. Louis Cardinals,0.269,0.337,2006
14,15,Atlanta Braves,0.27,0.337,2006
15,16,Cincinnati Reds,0.257,0.336,2006
16,17,New York Mets,0.264,0.334,2006
17,18,Los Angeles Angels,0.274,0.334,2006
18,19,Kansas City Royals,0.271,0.332,2006
19,20,San Diego Padres,0.263,0.332,2006
20,21,Houston Astros,0.255,0.332,2006
21,22,Arizona Diamondbacks,0.267,0.331,2006
22,23,Florida Marlins,0.264,0.331,2006
23,24,Detroit Tigers,0.274,0.329,2006
24,25,Milwaukee Brewers,0.258,0.327,2006
25,26,Pittsburgh Pirates,0.263,0.327,2006
26,27,Seattle Mariners,0.272,0.325,2006
27,28,San Francisco Giants,0.259,0.324,2006
28,29,Chicago Cubs,0.268,0.319,2006
29,30,Tampa Bay Devil Rays,0.255,0.314,2006
0,1,New York Yankees,0.29,0.366,2007
1,2,Boston Red Sox,0.279,0.362,2007
2,3,Colorado Rockies,0.28,0.354,2007
3,4,Philadelphia Phillies,0.274,0.354,2007
4,5,Los Angeles Angels,0.284,0.345,2007
5,6,Detroit Tigers,0.287,0.345,2007
6,7,Cleveland Indians,0.268,0.343,2007
7,8,New York Mets,0.275,0.342,2007
8,9,Atlanta Braves,0.275,0.339,2007
9,10,Oakland Athletics,0.256,0.338,2007
10,11,St. Louis Cardinals,0.274,0.337,2007
11,12,Los Angeles Dodgers,0.275,0.337,2007
12,13,Seattle Mariners,0.287,0.337,2007
13,14,Tampa Bay Devil Rays,0.268,0.336,2007
14,15,Florida Marlins,0.267,0.336,2007
15,16,Cincinnati Reds,0.267,0.335,2007
16,17,Baltimore Orioles,0.272,0.333,2007
17,18,Chicago Cubs,0.271,0.333,2007
18,19,Minnesota Twins,0.264,0.33,2007
19,20,Houston Astros,0.26,0.33,2007
20,21,Milwaukee Brewers,0.262,0.329,2007
21,22,Texas Rangers,0.263,0.328,2007
22,23,Toronto Blue Jays,0.259,0.327,2007
23,24,Washington Nationals,0.256,0.325,2007
24,25,Pittsburgh Pirates,0.263,0.325,2007
25,26,Kansas City Royals,0.261,0.322,2007
26,27,San Francisco Giants,0.254,0.322,2007
27,28,San Diego Padres,0.251,0.322,2007
28,29,Arizona Diamondbacks,0.25,0.321,2007
29,30,Chicago White Sox,0.246,0.318,2007
0,1,Boston Red Sox,0.28,0.358,2008
1,2,Chicago Cubs,0.278,0.354,2008
2,3,Texas Rangers,0.283,0.354,2008
3,4,St. Louis Cardinals,0.281,0.35,2008
4,5,Atlanta Braves,0.27,0.345,2008
5,6,New York Yankees,0.271,0.342,2008
6,7,Detroit Tigers,0.271,0.34,2008
7,8,New York Mets,0.266,0.34,2008
8,9,Minnesota Twins,0.279,0.34,2008
9,10,Tampa Bay Rays,0.26,0.34,2008
10,11,Cleveland Indians,0.262,0.339,2008
11,12,Colorado Rockies,0.263,0.336,2008
12,13,Baltimore Orioles,0.267,0.333,2008
13,14,Los Angeles Dodgers,0.264,0.333,2008
14,15,Chicago White Sox,0.263,0.332,2008
15,16,Philadelphia Phillies,0.255,0.332,2008
16,17,Toronto Blue Jays,0.264,0.331,2008
17,18,Los Angeles Angels,0.268,0.33,2008
18,19,Arizona Diamondbacks,0.251,0.327,2008
19,20,Florida Marlins,0.254,0.326,2008
20,21,Milwaukee Brewers,0.253,0.325,2008
21,22,Washington Nationals,0.251,0.323,2008
22,23,Houston Astros,0.263,0.323,2008
23,24,San Francisco Giants,0.262,0.321,2008
24,25,Cincinnati Reds,0.247,0.321,2008
25,26,Kansas City Royals,0.269,0.32,2008
26,27,Pittsburgh Pirates,0.258,0.32,2008
27,28,Seattle Mariners,0.265,0.318,2008
28,29,Oakland Athletics,0.242,0.318,2008
29,30,San Diego Padres,0.25,0.317,2008
0,1,New York Yankees,0.283,0.362,2009
1,2,Boston Red Sox,0.27,0.352,2009
2,3,Los Angeles Angels,0.285,0.35,2009
3,4,Los Angeles Dodgers,0.27,0.346,2009
4,5,Minnesota Twins,0.274,0.345,2009
5,6,Colorado Rockies,0.261,0.343,2009
6,7,Tampa Bay Rays,0.263,0.343,2009
7,8,Milwaukee Brewers,0.263,0.341,2009
8,9,Florida Marlins,0.268,0.34,2009
9,10,Cleveland Indians,0.264,0.339,2009
10,11,Atlanta Braves,0.263,0.339,2009
11,12,Washington Nationals,0.258,0.337,2009
12,13,New York Mets,0.27,0.335,2009
13,14,Philadelphia Phillies,0.258,0.334,2009
14,15,Toronto Blue Jays,0.266,0.333,2009
15,16,St. Louis Cardinals,0.263,0.332,2009
16,17,Baltimore Orioles,0.268,0.332,2009
17,18,Chicago Cubs,0.255,0.332,2009
18,19,Detroit Tigers,0.26,0.331,2009
19,20,Chicago White Sox,0.258,0.329,2009
20,21,Oakland Athletics,0.262,0.328,2009
21,22,Arizona Diamondbacks,0.253,0.324,2009
22,23,San Diego Padres,0.242,0.321,2009
23,24,Texas Rangers,0.26,0.32,2009
24,25,Houston Astros,0.26,0.319,2009
25,26,Kansas City Royals,0.259,0.318,2009
26,27,Pittsburgh Pirates,0.252,0.318,2009
27,28,Cincinnati Reds,0.247,0.318,2009
28,29,Seattle Mariners,0.258,0.314,2009
29,30,San Francisco Giants,0.257,0.309,2009
0,1,New York Yankees,0.267,0.35,2010
1,2,Minnesota Twins,0.273,0.341,2010
2,3,Boston Red Sox,0.268,0.339,2010
3,4,Atlanta Braves,0.258,0.339,2010
4,5,Cincinnati Reds,0.272,0.338,2010
5,6,Texas Rangers,0.276,0.338,2010
6,7,Colorado Rockies,0.263,0.336,2010
7,8,Detroit Tigers,0.268,0.335,2010
8,9,Milwaukee Brewers,0.262,0.335,2010
9,10,Tampa Bay Rays,0.247,0.333,2010
10,11,Philadelphia Phillies,0.26,0.332,2010
11,12,Chicago White Sox,0.268,0.332,2010
12,13,St. Louis Cardinals,0.263,0.332,2010
13,14,Kansas City Royals,0.274,0.331,2010
14,15,Arizona Diamondbacks,0.25,0.325,2010
15,16,Oakland Athletics,0.256,0.324,2010
16,17,Cleveland Indians,0.248,0.322,2010
17,18,Los Angeles Dodgers,0.252,0.322,2010
18,19,San Francisco Giants,0.257,0.321,2010
19,20,Florida Marlins,0.254,0.321,2010
20,21,Chicago Cubs,0.257,0.32,2010
21,22,Washington Nationals,0.25,0.318,2010
22,23,San Diego Padres,0.246,0.317,2010
23,24,Baltimore Orioles,0.259,0.316,2010
24,25,New York Mets,0.249,0.314,2010
25,26,Toronto Blue Jays,0.248,0.312,2010
26,27,Los Angeles Angels,0.248,0.311,2010
27,28,Pittsburgh Pirates,0.242,0.304,2010
28,29,Houston Astros,0.247,0.303,2010
29,30,Seattle Mariners,0.236,0.298,2010
0,1,Boston Red Sox,0.28,0.349,2011
1,2,New York Yankees,0.263,0.343,2011
2,3,St. Louis Cardinals,0.273,0.341,2011
3,4,Detroit Tigers,0.277,0.34,2011
4,5,Texas Rangers,0.283,0.34,2011
5,6,New York Mets,0.264,0.335,2011
6,7,Colorado Rockies,0.258,0.329,2011
7,8,Kansas City Royals,0.275,0.329,2011
8,9,Cincinnati Reds,0.256,0.326,2011
9,10,Milwaukee Brewers,0.261,0.325,2011
10,11,Philadelphia Phillies,0.253,0.323,2011
11,12,Arizona Diamondbacks,0.25,0.322,2011
12,13,Tampa Bay Rays,0.244,0.322,2011
13,14,Los Angeles Dodgers,0.257,0.322,2011
14,15,Chicago White Sox,0.252,0.319,2011
15,16,Florida Marlins,0.247,0.318,2011
16,17,Cleveland Indians,0.25,0.317,2011
17,18,Toronto Blue Jays,0.249,0.317,2011
18,19,Baltimore Orioles,0.257,0.316,2011
19,20,Chicago Cubs,0.256,0.314,2011
20,21,Los Angeles Angels,0.253,0.313,2011
21,22,Oakland Athletics,0.244,0.311,2011
22,23,Houston Astros,0.258,0.311,2011
23,24,Pittsburgh Pirates,0.244,0.309,2011
24,25,Washington Nationals,0.242,0.309,2011
25,26,Atlanta Braves,0.243,0.308,2011
26,27,Minnesota Twins,0.247,0.306,2011
27,28,San Diego Padres,0.237,0.305,2011
28,29,San Francisco Giants,0.242,0.303,2011
29,30,Seattle Mariners,0.233,0.292,2011
0,1,St. Louis Cardinals,0.271,0.338,2012
1,2,New York Yankees,0.265,0.337,2012
2,3,Detroit Tigers,0.268,0.335,2012
3,4,Texas Rangers,0.273,0.334,2012
4,5,Los Angeles Angels,0.274,0.332,2012
5,6,Colorado Rockies,0.274,0.33,2012
6,7,Arizona Diamondbacks,0.259,0.328,2012
7,8,San Francisco Giants,0.269,0.327,2012
8,9,Milwaukee Brewers,0.259,0.325,2012
9,10,Minnesota Twins,0.26,0.325,2012
10,11,Cleveland Indians,0.251,0.324,2012
11,12,Washington Nationals,0.261,0.322,2012
12,13,Atlanta Braves,0.247,0.32,2012
13,14,San Diego Padres,0.247,0.319,2012
14,15,Chicago White Sox,0.255,0.318,2012
15,16,Tampa Bay Rays,0.24,0.317,2012
16,17,Philadelphia Phillies,0.255,0.317,2012
17,18,Los Angeles Dodgers,0.252,0.317,2012
18,19,Kansas City Royals,0.265,0.317,2012
19,20,New York Mets,0.249,0.316,2012
20,21,Cincinnati Reds,0.251,0.315,2012
21,22,Boston Red Sox,0.26,0.315,2012
22,23,Baltimore Orioles,0.247,0.311,2012
23,24,Oakland Athletics,0.238,0.31,2012
24,25,Toronto Blue Jays,0.245,0.309,2012
25,26,Miami Marlins,0.244,0.308,2012
26,27,Pittsburgh Pirates,0.243,0.304,2012
27,28,Houston Astros,0.236,0.302,2012
28,29,Chicago Cubs,0.24,0.302,2012
29,30,Seattle Mariners,0.234,0.296,2012
0,1,Boston Red Sox,0.277,0.349,2013
1,2,Detroit Tigers,0.283,0.346,2013
2,3,St. Louis Cardinals,0.269,0.332,2013
3,4,Tampa Bay Rays,0.257,0.329,2013
4,5,Los Angeles Angels,0.264,0.329,2013
5,6,Cincinnati Reds,0.249,0.327,2013
6,7,Cleveland Indians,0.255,0.327,2013
7,8,Oakland Athletics,0.254,0.327,2013
8,9,Los Angeles Dodgers,0.264,0.326,2013
9,10,Texas Rangers,0.262,0.323,2013
10,11,Arizona Diamondbacks,0.259,0.323,2013
11,12,Colorado Rockies,0.27,0.323,2013
12,13,Atlanta Braves,0.249,0.321,2013
13,14,San Francisco Giants,0.26,0.32,2013
14,15,Toronto Blue Jays,0.252,0.318,2013
15,16,Kansas City Royals,0.26,0.315,2013
16,17,Pittsburgh Pirates,0.245,0.313,2013
17,18,Washington Nationals,0.251,0.313,2013
18,19,Baltimore Orioles,0.26,0.313,2013
19,20,Minnesota Twins,0.242,0.312,2013
20,21,Milwaukee Brewers,0.252,0.311,2013
21,22,San Diego Padres,0.245,0.308,2013
22,23,New York Yankees,0.242,0.307,2013
23,24,Philadelphia Phillies,0.248,0.306,2013
24,25,New York Mets,0.237,0.306,2013
25,26,Seattle Mariners,0.237,0.306,2013
26,27,Chicago White Sox,0.249,0.302,2013
27,28,Chicago Cubs,0.238,0.3,2013
28,29,Houston Astros,0.24,0.299,2013
29,30,Miami Marlins,0.231,0.293,2013
0,1,Los Angeles Dodgers,0.265,0.333,2014
1,2,Detroit Tigers,0.277,0.331,2014
2,3,Pittsburgh Pirates,0.259,0.33,2014
3,4,Colorado Rockies,0.276,0.327,2014
4,5,Minnesota Twins,0.254,0.324,2014
5,6,Toronto Blue Jays,0.259,0.323,2014
